Latitud,Longitud,Magnitud,Profundidad,
2022-11-16 06:09:33, 16.23 , -94.99 , 4.0 , 38 
2022-11-16 06:09:39, -17.93 , -178.51 , 4.3 , 564 
2022-11-16 05:21:30, 6.10 , -82.50 , 4.4 , 10 
2022-11-16 04:22:14, -4.75 , 100.77 , 5.5 , 9 
2022-11-16 04:16:47, 44.07 , 130.28 , 4.4 , 582 
2022-11-16 03:21:46, 26.59 , 102.09 , 4.7 , 10 
2022-11-16 03:08:54, 23.07 , 121.20 , 4.1 , 15 
2022-11-16 02:03:24, 22.01 , 142.70 , 4.2 , 314 
2022-11-16 01:49:55, -59.77 , -26.13 , 5.2 , 65 
2022-11-15 21:14:10, -42.79 , 124.60 , 5.2 , 10 
